"","...1","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"37",221,"Class B; at or below the agronomic uptake rate (Spray irrigation of fodder, fiber, seed crops, sod, ornamental plants for commercial use, pasture to which milking cows and goats have access and food crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents; Spray, drip, or subsurface irrigation of trees; Drip or subsurface irrigation of food crops where there is no reclaimed wastewater contact with the edible portion of the crop)","Municipal wastewater","nitrogen","not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"38",224,"Class C; at or below the agronomic uptake rate (Spray irrigation of sod, ornamental plants for commercial use and pasture to which milking cows or goats have access, crops which undergo physical or chemical processing sufficient to destroy all pathogenic agents)","Municipal wastewater","nitrogen","not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"39",226,"Class D; at or below the agronomic uptake rate (Drip or subsurface irrigation of trees; Spray irrigation of trees and fodder, fiber and seed crops","Municipal wastewater","nitrogen","not specified","A minimum of monthly analysis during periods of use (including prior to seasonal startup)","Montana"
"40",228,"Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","nitrogen","not specified","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"41",229,"Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","nitrogen","not specified","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"42",230,"Crops not intended for distribution in raw form for direct human consumption grown in areas with unrestricted public access","Treated domestic effluent","nitrogen","not specified","At a minimum, annually. The effluent shall be sampled on the first day of land application.","Nebraska"
"43",237,"Reuse Category A (Irrigation of food crops)","Municipal wastewater","nitrogen","not specified","Not specified","Nevada"
"44",241,"Reuse Category C (Watering of nursery stock where public access is restricted)","Municipal wastewater","nitrogen","not specified","Not specified","Nevada"
"45",247,"Reuse Category D (Surface irrigation for agricultural purposes and the cultivation of fruit-bearing or nut-bearing trees; Subsurface irrigation of land used for agricultural purposes where public access is restricted)","Municipal wastewater","nitrogen","not specified","Not specified","Nevada"
"46",253,"Reuse Category E (Spray irrigation of land used for agricultural purposes if public access to the area of use is prohibited and if a buffer zone of not less than 800 feet is maintained)","Municipal wastewater","nitrogen","not specified","Not specified","Nevada"
"47",255,"Type II RWBR Restricted Access and Non-Edible Crop Systems (Irrigation of non-edible crops including spray irrigation of sod farms and pasturelands, or similar areas with restricted public access)","Municipal wastewater","nitrogen","10 mg/L","Not specified","New Jersey"
"48",263,"Type III RWBR Agricultural Edible Crop Systems (Spray irrigation of edible crops if those crops will be peeled, skinned, cooked or thermally processed before consumption; Irrigation using an indirect application method that precludes direct contact with the reclaimed water, such as ridge and furrow irrigation)","Municipal wastewater","nitrogen","10 mg/L","Not specified","New Jersey"
"49",272,"Class 1A Reclaimed Water (Irrigation of food crops)","Domestic wastewater","nitrogen","not specified","Not specified","New Mexico"
